Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Баня,,Бани и сауны,"улица Борили, 3",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.3,39,87754413947,,,,,,,,,,https://wa.me/77754413947,,,,,51.136429,71.495253,https://2gis.com/firm/70000001035874048
Premier,комплекс саун на дровах,Бани и сауны; Массажист,"улица Балкантау, 187",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,153,87710330133 (администратор),87051057148,,,,,,,https://instagram.com/sauna.premier,,https://wa.me/77051057148,https://wa.me/77710330133,,viber://chat/?number=77710330133,,51.133135,71.475794,https://2gis.com/firm/70000001034834407
Жастар Ns,,Бани и сауны,"улица Сакена Сейфуллина, 4а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87781559273,,,,,,,,,,https://wa.me/77781559273,,,,,51.167807,71.401599,https://2gis.com/firm/70000001100766550
Баня На Балканах,,Бани и сауны,"улица Балкантау, 68",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-22:00,+05:00,4.9,87,87759629794,,,,,,,,https://instagram.com/banya_na_balkanah,,https://wa.me/77759629794,,,,,51.134181,71.495045,https://2gis.com/firm/70000001058930766
Восток,сауна,Бани и сауны,"улица Шугыла, 1/3",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,141,87077598008,87002002323,87071066234,,,,,,https://instagram.com/vostok__astana,,https://wa.me/77077598008,https://wa.me/77002002323,,,,51.176387,71.346604,https://2gis.com/firm/70000001063714250
Турист,сауна,Бани и сауны,"проспект Республики, 33",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87770790093,,,,,,,,,,https://wa.me/77770790093,,,,,51.169037,71.425644,https://2gis.com/firm/70000001104139761
Русские бани,,Бани и сауны,"улица Енлик-Кебек, 18/1",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,49,87787383378,,,,,,,,https://instagram.com/russkie.bani.astana,,https://wa.me/77787383378,,,,,51.174841,71.345821,https://2gis.com/firm/70000001029058500
Баня,семейная баня,Бани и сауны,"улица Сарыозен, 1",зелёные ворота,,Коктал-2 м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-03:00; Вт: 13:00-03:00; Ср: 13:00-03:00; Чт: 13:00-03:00; Пт: 09:00-05:00; Сб: 09:00-05:00; Вс: 09:00-05:00 (по предварительной записи),+05:00,4.9,69,87780144259,,,,,,,,,,https://wa.me/77780144259,,,,,51.193253,71.335568,https://2gis.com/firm/70000001060175381
Кереге,,Бани и сауны,"улица Е-429, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.7,20,,,,,,,,,,,,,,,,51.143819,71.357458,https://2gis.com/firm/70000001095556617
Семейная баня,,Бани и сауны,"улица Айнатас, 15а",,,Кирпичный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,5.0,8,87780106034,,,,,,,,,,https://wa.me/77780106034,,,,,51.200467,71.453389,https://2gis.com/firm/70000001101685872
Кедровая баня на дровах,,Бани и сауны,"улица Жумабаева, 3",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,5.0,2,87789588856 (администратор),,,,,,,,,,https://wa.me/77789588856,,,,,51.243664,71.266597,https://2gis.com/firm/70000001098471741
Теньговка Ethno,сакские бани,Бани и сауны,"шоссе Алаш, 140/2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (по предварительной записи),+05:00,4.9,453,87019442727,,,,,,,,https://instagram.com/tengovka_ethno,,https://wa.me/77019442727,,,,,51.249303,71.584218,https://2gis.com/firm/70000001086785933
Баня,,Бани и сауны,"переулок Коктамыр, 33/1",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+05:00,,,87751080808,,,,,,,,,,https://wa.me/77751080808,,,,,51.19739,71.437955,https://2gis.com/firm/70000001092764108
Парная №1,,Бани и сауны,"улица Нурпейиса Байганина, 9а",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,4.7,83,87024474443,,,,,,,,https://instagram.com/urker.banya.parnaya01,,https://wa.me/77024474443,,,,,51.121957,71.278977,https://2gis.com/firm/70000001049058000
StatuS,общественная баня,Бани и сауны,"улица Доспамбет жырау, 94/1",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,57,87769140930,,,,,,,,,,https://wa.me/77769140930,,,,,51.121333,71.233925,https://2gis.com/firm/70000001095482151
Столичные раки,зона отдыха,Бани и сауны; Базы отдыха,"улица Акжайык, 3",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.7,470,87017933437,,,,,,,,https://instagram.com/stolichnyeraki,,https://wa.me/77017933437,,,,,51.087449,71.774656,https://2gis.com/firm/70000001023565576
Баня,,Бани и сауны,"улица Степан Разин, 9",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-04:00; Вт: 10:00-04:00; Ср: 10:00-04:00; Чт: 10:00-04:00; Пт: 10:00-04:00; Сб: 10:00-04:00; Вс: 10:00-04:00 (до последнего клиента),+05:00,4.2,22,87716641657,,,,,,,,,,,,,,,51.178873,71.402836,https://2gis.com/firm/70000001029735364
Сосновая,сауна,Бани и сауны,"проспект Богенбай батыра, 18",4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,18,87711275988,,,,,,,,https://instagram.com/sauny_v_astane_,,https://wa.me/77711275988,https://wa.me/77472228506,,,https://t.me/+77472228506,51.175148,71.398792,https://2gis.com/firm/70000001078778222
Сауна,,Бани и сауны,"улица Бейбитшилик, 47/1",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,64,87172314349,87014479911,,,,,,,,,https://wa.me/77014479911,,,,,51.179234,71.414246,https://2gis.com/firm/70000001018124431
Iris,сауна,Бани и сауны,"проспект Абая, 8",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,109,87011115196,,,,,,,,https://instagram.com/saunairis,,https://wa.me/77011115196,,,,,51.164603,71.404668,https://2gis.com/firm/70000001023004100
Ника,сауна,Бани и сауны,"улица Адольфа Янушкевича, 9/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,53,87087168217,,,,,,,,,,https://wa.me/77087168217,,,,,51.162959,71.464129,https://2gis.com/firm/70000001018107001
Атмосфера,семейная баня,Бани и сауны,"улица Вольфганга Гете, 13/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,5.0,68,87759431035,,,,,,,,https://instagram.com/galina.tserne,,https://wa.me/77759431035,,,,https://t.me/77759431035,51.191881,71.41946,https://2gis.com/firm/70000001080368591
Territoriya_otdyha_kosshy,,Бани и сауны; Базы отдыха,"улица Камбар батыр, 181",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.6,21,87755796315,,,,,,,,https://instagram.com/territoriya_otdyha_kosshy,,https://wa.me/77755796315,,,,,50.946736,71.366869,https://2gis.com/firm/70000001067007284
Семейная баня,,Бани и сауны,"улица Естай, 48/1",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.7,17,87753350896,,,,,,,,,,https://wa.me/77753350896,,,,,51.185462,71.337488,https://2gis.com/firm/70000001094218162
TAU Park,сакская баня,Бани и сауны,"016-й учетный квартал, 1167",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,45,87051008838,,,,,,,,https://instagram.com/tau.park,,https://wa.me/77051008838,,,,,50.957061,71.329619,https://2gis.com/firm/70000001079122340
Легкий пар,сауна,Бани и сауны,"переулок Каражорга, 7",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,44,87020942889,,,,,,,,https://instagram.com/lyogkiy.par_sauna,,https://wa.me/77020942889,,,,,51.181185,71.364199,https://2gis.com/firm/70000001070539182
Баня №1,,Бани и сауны,"переулок Кокорай, 8",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,15,87778941256,,,,,,,,,,https://wa.me/77778941256,,,,,51.135833,71.481759,https://2gis.com/firm/70000001100040685
Семейная сауна,,Бани и сауны,"улица Аулие Ата, 77",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.8,24,87786746628,,,,,,,,,,https://wa.me/77786746628,,,,,51.200198,71.37326,https://2gis.com/firm/70000001056593771
Семейная баня,,Бани и сауны,"улица Суюнбай акын, 48",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.8,5,87470481368,,,,,,,,,,https://wa.me/77470481368,,,,,51.189613,71.335818,https://2gis.com/firm/70000001094336341
Арай,сауна,Бани и сауны,"улица Жанкент, 65",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,83,87028264648,,,,,,,,,,https://wa.me/77028264648,,,viber://chat/?number=77028264648,https://t.me/+77028264648,51.135666,71.494706,https://2gis.com/firm/70000001045732153
Сакские бани,,Бани и сауны,"улица Костомар, 40",,,,,,Аршалынский район,Акмолинская область,Казахстан,"Пн: 12:00-19:00, 20:00-03:00; Вт: 12:00-19:00, 20:00-03:00; Ср: 12:00-19:00, 20:00-03:00; Чт: 12:00-19:00, 20:00-03:00; Пт: 12:00-19:00, 20:00-03:00; Сб: 12:00-19:00, 20:00-03:00; Вс: 12:00-19:00, 20:00-03:00 (по предварительной записи)",+05:00,4.6,200,87000551111,,,,,,,,https://instagram.com/sakskayabanya_astana,,https://wa.me/77000551111,,,,,51.214715,71.840424,https://2gis.com/firm/70000001092974503
Баня,,Бани и сауны,"улица Нурпейиса Байганина, 32",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,5.0,1,87024039791,,,,,,,,,,https://wa.me/77024039791,,,,,51.127053,71.275249,https://2gis.com/firm/70000001102566854
Muntaz,семейная баня,Бани и сауны,"19-й микрорайон, 7524",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.9,60,87784419498,,,,,,,,https://instagram.com/muntaz_banya_kosshy,,https://wa.me/77784419498,,,,,50.951127,71.370001,https://2gis.com/firm/70000001094742488
Изба,гостевой дом,Бани и сауны,"улица Керей хана, 26",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,23,87782857736,,,,,,,,https://instagram.com/guest.house.izba,,https://wa.me/77782857736,,,,,50.978507,71.342699,https://2gis.com/firm/70000001087517923
Фортуна,,Бани и сауны; SPA-процедуры,"Альмукан Сембинов улица, 13/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,90,87087223772,87778693103,,,,,,,,,https://wa.me/77087223772,https://wa.me/77778693103,,,,51.171282,71.450248,https://2gis.com/firm/70000001066909148
Баня,,Бани и сауны,"Газеты Егемен Казахстан улица, 5/12",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,5.0,5,,,,,,,,,,,,,,,,51.168227,71.451591,https://2gis.com/firm/70000001075779023
Туыскан,баня,Бани и сауны,"улица Озбекали Жанибек, 42/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,5.0,13,87476771451,,,,,,,,https://instagram.com/tuyskan.par,,https://wa.me/77476771451,,,,,51.135776,71.512238,https://2gis.com/firm/70000001082759506
Pro100banya,банный комплекс,Бани и сауны,"улица Мустафа Шокай, 2/3",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,24,87017639523,,,,,,,,https://instagram.com/pro100banya_ast,,https://wa.me/77017639523,,,,,51.125519,71.519512,https://2gis.com/firm/70000001081534696
Pardavenik_astana,,Бани и сауны,"улица Беимбет Майлин, 16/10",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,87082108102,87082108104,,,,,,,https://instagram.com/pardavenik_astana,,https://wa.me/77082108102,,,,,51.14455,71.475327,https://2gis.com/firm/70000001052447903
Русская,сауна,Бани и сауны; SPA-процедуры; Массажист,"улица Саркан, 26",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,87056249960,,,,,,,,,,https://wa.me/77056249960,,,,,51.139095,71.491896,https://2gis.com/firm/70000001088052290
От души,,Бани и сауны,"улица Адильбек Майкотов, 17",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00 (по предварительной записи),+05:00,4.8,62,87071427040,,,,,,,,,,https://wa.me/77071427040,,,,,51.189784,71.401034,https://2gis.com/firm/70000001059363545
Баня на дровах,,Бани и сауны,"переулок Сарыагаш, 7",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 18:00-02:00; Вт: 18:00-02:00; Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-02:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.4,22,87013205856,87473830106,,,,,,,,,https://wa.me/77473830106,https://wa.me/77013205856,,,,51.132282,71.510965,https://2gis.com/firm/70000001092473555
Баня на дровах,,Бани и сауны,"улица Айнакол, 41/2",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Вт: 15:45-01:00; Ср: 15:45-01:00; Чт: 15:45-01:00; Пт: 15:45-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.6,112,87027350272,87053506054,,,,,,,https://instagram.com/banya_na_drovax_01,,https://wa.me/77053506054,,,,,51.13676,71.513383,https://2gis.com/firm/70000001065371615
Сабынды,баня,Бани и сауны,"улица Иманак, 11а",,,Железнодорожный ж/м,Алматы район,Астана,,Астана,Казахстан,Ср: 13:00-22:00; Чт: 13:00-22:00; Пт: 13:00-22:00; Сб: 13:00-22:00; Вс: 13:00-22:00,+05:00,4.5,9,87027291223,,,,,,,,,,https://wa.me/77027291223,,,,,51.149075,71.559801,https://2gis.com/firm/70000001046528100
Арман,общественная мужская баня,Бани и сауны,"улица Шу, 37",цокольный этаж,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-02:00,+05:00,4.9,53,87756487911,87751321192,,,,,,,,,https://wa.me/77756487911,,,,,51.147087,71.522221,https://2gis.com/firm/70000001028060689
Баня,,Бани и сауны,"улица Бухар жырау, 55",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87025725359,,,,,,,,,,https://wa.me/77025725359,,,,,51.13505,71.216945,https://2gis.com/firm/70000001082746992
Семейная баня,,Бани и сауны,"улица Иле, 25",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.9,48,87476040306,,,,,,,,,,https://wa.me/77476040306,,,,,51.145044,71.523942,https://2gis.com/firm/70000001059066731
banya_parnaya01,,Бани и сауны,"улица Тоныкок, 31а",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,18,87083773016,,,,,,,,https://instagram.com/banya_parnaya01,,https://wa.me/77083773016,,,,,50.968501,71.379989,https://2gis.com/firm/70000001066300286
Көркем,эко-баня,Бани и сауны,"улица Республики, 2а",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 15:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.3,54,87054557770,,,,,,,,https://instagram.com/eco_banya_korkem,,https://wa.me/77054557770,,,,,51.003712,71.381159,https://2gis.com/firm/70000001055154509
Dosugoviy_dom_kosshy,,Бани и сауны; Гостиницы,"улица Нура, 5а",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,121,87018882227,,,,,,,,https://instagram.com/dosugoviy_dom_kosshy,,https://wa.me/77018882227,,,,,50.955218,71.366539,https://2gis.com/firm/70000001024130305
Par Zone,,Бани и сауны,"улица Мустафина, 10",,,,,,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,592,87029998010,,,,,,,,https://instagram.com/banya_parzone,,https://wa.me/77029998010,,,,,50.989139,71.295315,https://2gis.com/firm/70000001039595974
Urker Lux,,Бани и сауны; Аренда беседок,"улица Мухамет-Салык Бабажанов, 12",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-03:00; Вт: 09:00-03:00; Ср: 09:00-03:00; Чт: 09:00-03:00; Пт: 09:00-03:00; Сб: 09:00-03:00; Вс: 09:00-03:00,+05:00,4.3,28,87024455111,,,,,,,,https://instagram.com/urker_lux,,https://wa.me/77024455111,,,,,51.11218,71.242602,https://2gis.com/firm/70000001045912385
Баня,,Бани и сауны,"переулок Асемконыр, 2",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.4,16,87077996113,,,,,,,,,,https://wa.me/77077996113,,,,,51.186575,71.327099,https://2gis.com/firm/70000001051280557
Saryarka 1,комплекс,Бани и сауны; Гостиницы; Аренда беседок; Банкетные залы,"улица Объездная дорога 229, 1",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,46,87788077004,87782999991,,,,,,,,,https://wa.me/77788077004,,,,https://t.me/+77782999991,51.262922,71.464213,https://2gis.com/firm/70000001022543770
Эфир,семейная баня,Бани и сауны,"улица Умбетей жырау, 37/1",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 18:00-24:00; Вт: 18:00-24:00; Ср: 18:00-24:00; Чт: 18:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,2.8,68,87087058040,,,,,,,,https://instagram.com/banya_efir_urker,,https://wa.me/77087058040,,,,,51.120134,71.277428,https://2gis.com/firm/70000001035814608
Семейная баня,,Бани и сауны,"улица Центральная, 104/1а",,,ПК Полянка,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,5.0,19,87006623716,,,,,,,,,,https://wa.me/77006623716,,,,,51.175551,71.361755,https://2gis.com/firm/70000001104203318
tvoi_venik,,Бани и сауны,"переулок Тениз, 16",,,Ондирис-1 ж/м,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,29,87026867860,,,,,,,,https://instagram.com/tvoi_venik,,https://wa.me/77026867860,,,,,51.211016,71.387833,https://2gis.com/firm/70000001075129137
Comfort,гостиница,Бани и сауны; Гостиницы,"улица Казыбек би, 7",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,15,87015234777,,,,,,,,https://instagram.com/gostinitsa.comfort,,https://wa.me/77015234777,,,,,50.986832,71.358313,https://2gis.com/firm/70000001029693326
