Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Black Beast,,Барбершопы,"улица Санжара Асфендиярова, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,251,87714312121,87764311212,,,,,https://instagram.com/sunnat_barberr,,,https://wa.me/77714312121,https://wa.me/77764311212,,,,,51.132146,71.38082,https://2gis.com/firm/70000001063589228
OldBoy,барбершоп,Барбершопы,"Амангельды Иманова улица, 16",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,239,87027776109,,,,http://zapis.kz/oldboy,,https://instagram.com/oldboy.astana,,,https://wa.me/77027776109,,,,,,51.163416,71.435366,https://2gis.com/firm/70000001027000077
NewYork,,Барбершопы,"улица Каныш Сатпаев, 11",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,279,87757427272,87073297539,,,,,,,,https://wa.me/77757427272,,,,,,51.148096,71.470334,https://2gis.com/firm/70000001044059260
Choppers,,Барбершопы,"Аль-Фараби проспект, 29",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: вт-вс),+05:00,5.0,82,87004348867,,,,http://zapis.kz/salon/7300,,https://instagram.com/chopperskz,,,https://wa.me/77004348867,,,,https://t.me/+77004348867,,51.087723,71.447222,https://2gis.com/firm/70000001074471365
Barber Boss,турецкий барбершоп,Барбершопы,"улица Е-489, 3 блок 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,186,87026993029,,,,,,https://instagram.com/barber_boss_astana,,,https://wa.me/77026993029,,,,,,51.143337,71.377695,https://2gis.com/firm/70000001090232078
Сырлы қайшы,,Барбершопы,"улица Жубан Молдагалиев, 10",НП: 10,,,Нура район,Астана,,Астана,Казахстан,"Пн: 10:00-12:00, 13:00-21:30; Вт: 10:00-12:00, 13:00-21:30; Чт: 10:00-12:00, 13:00-21:30; Пт: 10:00-12:00, 13:00-21:30; Сб: 10:00-12:00, 13:00-21:30; Вс: 10:00-12:00, 13:00-21:30",+05:00,4.9,44,87007201314,,,,,,https://instagram.com/serle_kaishe,,,https://wa.me/77007201314,,,,,,51.124152,71.375742,https://2gis.com/firm/70000001092499678
Muslim,,Барбершопы,"Кабанбай батыр проспект, 36/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,79,87015139494,87001170997,,,,,https://instagram.com/magzhanbasymbek_97,,,https://wa.me/77001170997,,,,,,51.126251,71.416444,https://2gis.com/firm/70000001087560787
Oscar,барбершоп,Барбершопы,"улица Сыганак, 54а",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,179,87756099276,,,,,,https://instagram.com/oscar_barbershop_astana,,,https://wa.me/77756099276,,,,,,51.124297,71.417986,https://2gis.com/firm/70000001063366676
Senior,барбершоп,Барбершопы,"проспект Мангилик Ел, 51/2",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,70,87759090996,,,,,,https://instagram.com/barbershop_senior_astana,,,https://wa.me/77759090996,,,,,,51.095446,71.42228,https://2gis.com/firm/70000001078530101
Eleven,,Барбершопы,"улица Ахмет Байтурсынулы, 39/3",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,40,87760819096,,,,,,,,,https://wa.me/77760819096,,,,,,51.120068,71.502524,https://2gis.com/firm/70000001103654063
S14,барбершоп,Барбершопы,"улица Сауран, 14",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,276,87056718772,,,,,,https://instagram.com/barbershop_s14,,,https://wa.me/77056718772,,,,,,51.115406,71.419728,https://2gis.com/firm/70000001068524244
Westman,барбершоп,Барбершопы,"улица Кенесары, 4Б",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.7,16,87756556575,,,,,,,,,https://wa.me/77756556575,,,,,,51.161019,71.402585,https://2gis.com/firm/70000001098551403
Monke,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Ахмет Байтурсынулы, 32/4",3 офис,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,91,87055578501,,,,http://zapis.kz/monke-barbershop-b,http://taplink.cc/monke_barbershop,https://instagram.com/monke.barbershop,,,https://wa.me/77055578501,,,,,,51.114009,71.524268,https://2gis.com/firm/70000001093526525
Blackstone,барбершоп,Барбершопы,"улица Санжара Асфендиярова, 3",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,141,87751924036,,,,,,https://instagram.com/blackstone.offical_,,,https://wa.me/77751924036,,,,,,51.132209,71.37761,https://2gis.com/firm/70000001089808898
Doberman,барбершоп,Барбершопы,"улица Шаймерден Косшыгулулы, 11/3",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,132,87058779949,87776179966,,,,,https://instagram.com/doberman.ast,,,https://wa.me/77479726111,https://wa.me/77058779949,https://wa.me/77776179966,,,,51.166868,71.387118,https://2gis.com/firm/70000001069272797
Qojekey,барбершоп,Барбершопы,"улица Шамши Калдаяков, 23/2",1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-22:00; Вт: 10:00-13:00, 14:00-22:00; Ср: 10:00-13:00, 14:00-22:00; Чт: 10:00-13:00, 14:00-22:00; Пт: 10:00-13:00, 14:00-22:00; Сб: 10:00-13:00, 14:00-22:00; Вс: 10:00-13:00, 14:00-22:00",+05:00,4.8,204,87782862302,87789205051,,,,,https://instagram.com/qojekey.barbershop,,,https://wa.me/77782862302,,,,,,51.114395,71.488226,https://2gis.com/firm/70000001076581733
D51,барбершоп,Барбершопы,"проспект Сарыарка, 21",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,120,87000770051,,,,http://zapis.kz/salon/10474,,https://instagram.com/d51_barbershop,,,https://wa.me/77000770051,,,,,,51.16974,71.407431,https://2gis.com/firm/70000001090432021
Asau,барбершоп,Барбершопы,"улица Адольфа Янушкевича, 1",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,22,87719186260,,,,,,,,,https://wa.me/77719186260,,,,,,51.15886,71.461044,https://2gis.com/firm/70000001101197120
NewYork,,Барбершопы,"улица Кордай, 58/2",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,70,87780102628,,,,,,,,,https://wa.me/77780102628,,,,,,51.13251,71.505021,https://2gis.com/firm/70000001093103840
Er-Style,барбершоп,Барбершопы,"улица Сауран, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,5.0,39,87009628919,87074901992,87773234101,,,,,,,https://wa.me/77009628919,,,,,,51.116829,71.420237,https://2gis.com/firm/70000001103744229
Zanggar.kz,барбершоп,Барбершопы,"проспект Бауыржан Момышулы, 10/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,154,87022875297,,,,http://zanggar.kz,,https://instagram.com/zanggar.kz_barbershop,https://facebook.com/zanggar.kz.barbershop,,https://wa.me/77022875297,,,,,https://youtube.com/channel/UCdDofPW6ESqLw_in1IUjlJg,51.138905,71.476794,https://2gis.com/firm/70000001055512953
Chicago,барбершоп,Барбершопы,"улица Бердибек Сокпакбаев, 5",ВП: 11,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,176,87017772437,,,,,,https://instagram.com/barbershop_chicago_,,,https://wa.me/77017772437,,,,,,51.171845,71.399747,https://2gis.com/firm/70000001043420396
Brutal,,Барбершопы,"улица Кенесары, 4Б",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,156,87718450808,,,,,,https://instagram.com/brutal.barber.bekzat,,,https://wa.me/77718450808,,,,,,51.160959,71.402604,https://2gis.com/firm/70000001066639646
NewYork,,Барбершопы,"улица Кенесары, 45",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,140,87074326271,,,,,,,,,https://wa.me/77074326271,,,,,,51.165965,71.429135,https://2gis.com/firm/70000001099961453
GQ,,Барбершопы,"Керей, Жанибек хандар улица, 28",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-20:00; Вт: 10:00-13:00, 14:00-20:00; Ср: 10:00-13:00, 14:00-20:00; Чт: 10:00-13:00, 14:00-20:00; Пт: 10:00-13:00, 14:00-20:00; Сб: 10:00-13:00, 14:00-20:00; Вс: 10:00-13:00, 14:00-20:00",+05:00,4.2,49,87027468588,87753178799,,,,,https://instagram.com/barber___nurlan,,,https://wa.me/77027468588,,,,,,51.112265,71.436224,https://2gis.com/firm/70000001037731707
Mesto barbers,,Барбершопы,"улица Жошы хан, 1/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,2,,,,,,,https://instagram.com/mesto.barbers,,,https://wa.me/77717929030,,,,,,51.09656,71.435656,https://2gis.com/firm/70000001103642172
X Town,барбершоп,Барбершопы,"улица Азильхан Нуршаихов, 6/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.9,56,87071733113,,,,,,,,,https://wa.me/77071733113,,,,,,51.12917,71.361771,https://2gis.com/firm/70000001093042967
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Маншук Маметовой, 2/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,5,87066669191,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77066669191,,,,,,51.128158,71.376042,https://2gis.com/firm/70000001104374889
Vip_barber_studio_,,Барбершопы,"проспект Мангилик Ел, 38",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,3,87052125830,,,,,,https://instagram.com/vip_barber_studio_,,,https://wa.me/77052125830,,,,,,51.104499,71.431968,https://2gis.com/firm/70000001097213868
Logovo,,Барбершопы,"улица Шамши Калдаяков, 23",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87478108738,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77478108738,,,,,,51.115031,71.484502,https://2gis.com/firm/70000001104831940
Erbolat Meirman,,Барбершопы,"улица Кенжебек Кумисбеков, 2п",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,60,87786109599,,,,,,https://instagram.com/erbolat.meirman,,,https://wa.me/77786109599,,,,,,51.16343,71.401549,https://2gis.com/firm/70000001067244726
Shoms_ik,кабинет барбера,Барбершопы,"улица Анет баба, 2",в салоне ES.Body,,,Нура район,Астана,,Астана,Казахстан,Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,37,87073345152,,,,,,https://instagram.com/shoms_ik,,,https://wa.me/77073345152,,,,,,51.131377,71.384304,https://2gis.com/firm/70000001101405894
King room,барбершоп,Барбершопы,"улица Кенжебек Кумисбеков, 3а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,406,87788923898,,,,http://n1310347.alteg.io/,,https://instagram.com/barbershop_king_room,,,https://wa.me/77788923898,,,,,,51.166259,71.398921,https://2gis.com/firm/70000001052577316
Express,барбершоп,Барбершопы; Массажист,"улица Сыганак, 47",103 офис; 1 этаж,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: сб, вс)",+05:00,4.7,47,87029971851,,,,,,https://instagram.com/express_barber_shop_,,,https://wa.me/77029971851,,,,,,51.123185,71.434374,https://2gis.com/firm/70000001044993275
Aydosoff,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 17",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,27,87089092469,,,,http://n1375600.alteg.io,,,,,https://wa.me/77089092469,,,,,,51.113464,71.513365,https://2gis.com/firm/70000001103709336
as_barber_salon,барбершоп,Барбершопы,"улица Сыганак, 1Б",2 этаж,,Жагалау-3 жилой комплекс,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,41,87757000600,,,,,,https://instagram.com/as_barber_salon,,,https://wa.me/77757000600,,,,,,51.132341,71.366835,https://2gis.com/firm/70000001101154810
BarberTon,,Барбершопы,"улица Шолпан Иманбаевой, 5а",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,110,87011551555,,,,http://dkd.su/969802/s/9478260,,https://instagram.com/barberton_astana,,,https://wa.me/77011551555,,,,,,51.16133,71.434467,https://2gis.com/firm/70000001069364421
Barber Sako,,Барбершопы,"Аль-Фараби проспект, 4",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.2,9,87755037173,,,,,,https://instagram.com/barber.sako,,,https://wa.me/77755037173,,,,,,51.101647,71.454239,https://2gis.com/firm/70000001096088203
Barber Shyngys,,Барбершопы,"улица Динмухамед Конаев, 7",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,11,87785402840,,,,,,,,,https://wa.me/77785402840,,,,,,51.133455,71.421251,https://2gis.com/firm/70000001088212835
Myrza,,Барбершопы,"проспект Нургиса Тлендиева, 15",126 бутик; 1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,213,87007492694,,,,http://zapis.kz/barber-myrza,,https://instagram.com/myrza.barbershop,,,https://wa.me/77007492694,,,,,,51.17973,71.377564,https://2gis.com/firm/70000001083966359
Style man,кабинет парикмахера,Барбершопы,"проспект Улы Дала, 47/1",вход в салон Buyym,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,7,87025475907,,,,,,,,,https://wa.me/77025475907,,,,,,51.097314,71.4254,https://2gis.com/firm/70000001103272782
Барбершоп,,Барбершопы,"проспект Абылай хана, 54а",напротив лифта,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,130,87021117525,,,,http://tiktok.com/@barbershop0040,,https://instagram.com/barber_astana111,,,https://wa.me/77021117525,,,,,,51.144952,71.509868,https://2gis.com/firm/70000001035168931
Aitmen,барбершоп,Барбершопы,"улица Караменде би Шакаулы, 16",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,338,87055155719,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77055155719,,,,,,51.173996,71.36986,https://2gis.com/firm/70000001090095962
Modern,барбершоп,Барбершопы,"проспект Туран, 37",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.3,17,87021581096,,,,,,https://instagram.com/modern004,,,https://wa.me/77021581096,,,,,,51.132299,71.403991,https://2gis.com/firm/70000001065457924
Tau,барбершоп,Барбершопы,"улица Култегин, 17",НП: 2,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,10,87787800810,,,,,,,,,https://wa.me/77780991349,,,,,,51.137609,71.373816,https://2gis.com/firm/70000001104288636
Bvb,барбершоп,Барбершопы,"улица Ыкылас Дукенулы, 37/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,5.0,35,87764572408,,,,,,https://instagram.com/bvb.barbershop,,,https://wa.me/77764572408,,,,,,51.182797,71.438814,https://2gis.com/firm/70000001088785973
Spirito Royal,барбершоп,Барбершопы,"Кабанбай батыр проспект, 58а",5 офис; ВП: 5,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,599,87012181919,,,,,,https://instagram.com/spiritoroyal.barbershop,,,https://wa.me/77012181919,,,,,,51.096429,71.406372,https://2gis.com/firm/70000001030593320
Classic man,,Барбершопы; Обучение мастеров для салонов красоты,"Кабанбай батыр проспект, 58Б корпус 7",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,89,87767799533,,,,,,https://instagram.com/birnazarov_erbolsyn,,,https://wa.me/77767799533,,,,,,51.094296,71.409482,https://2gis.com/firm/70000001046981649
NewYork,,Барбершопы,"улица Ахмет Байтурсынулы, 47",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,5.0,76,87071540851,,,,,,,,,https://wa.me/77071540851,,,,,,51.118159,71.512402,https://2gis.com/firm/70000001103265219
Azr,барбершоп,Барбершопы,"проспект Нургиса Тлендиева, 12",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.9,163,87081624874,,,,,,https://instagram.com/a.z.r.barbershop,,,https://wa.me/77081624874,,,,,,51.180585,71.38012,https://2gis.com/firm/70000001097225295
Svoy bro,,Барбершопы,"улица Сыганак, 5",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,42,87759126654,,,,,,,,,https://wa.me/77759126654,,,,,,51.13106,71.362922,https://2gis.com/firm/70000001046912609
Stilist,,Барбершопы,"улица Бердибек Сокпакбаев, 16",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,5.0,67,87054502053,,,,,,https://instagram.com/barber_akif,,,https://wa.me/77054502053,,,,https://t.me/+77054502053,,51.173012,71.388864,https://2gis.com/firm/70000001069393384
Barber Point,,Барбершопы,"улица Чингиз Айтматов, 77/8",НП: 2,,,Нура район,Астана,,Астана,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,82,87053302659,,,,,,https://instagram.com/barbershop_point_ast,,,https://wa.me/77053302659,,,,,,51.166472,71.371726,https://2gis.com/firm/70000001098835127
Turan,барбершоп,Барбершопы,"улица Сакена Сейфуллина, 9",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,81,87025666626,,,,,,,,,https://wa.me/77025666626,,,,,,51.169162,71.404928,https://2gis.com/firm/70000001093624736
Salta,салон красоты,Барбершопы; Парикмахерские; Ногтевые студии; Эпиляция,"улица Жумекен Нажимеденов, 64",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,4.9,59,87009203030,,,,,,https://instagram.com/salta_beauty_salon,,,https://wa.me/77009203030,,,,,,51.107963,71.539949,https://2gis.com/firm/70000001098081450
